,d_officers,d_opcap,d_inuse,window
kirklevington grange,1.1538461538461533,-20.0,0.0,Mar to Jun 2026 (the recent fall)
lancaster farms,12.307692307692236,0.0,0.0,Mar to Jun 2026 (the recent fall)
leeds,-2.91024512820519,0.0,0.0,Mar to Jun 2026 (the recent fall)
leicester,2.2435925641025847,-31.0,0.0,Mar to Jun 2026 (the recent fall)
lewes,-4.057689487179488,3.0,0.0,Mar to Jun 2026 (the recent fall)
leyhill,2.0,0.0,-2.0,Mar to Jun 2026 (the recent fall)
lincoln,-0.12820307692308575,-26.0,0.0,Mar to Jun 2026 (the recent fall)
lindholme,1.6410256410256352,0.0,0.0,Mar to Jun 2026 (the recent fall)
littlehey,-2.705132307692338,0.0,0.0,Mar to Jun 2026 (the recent fall)
liverpool,0.43589589743595525,10.0,0.0,Mar to Jun 2026 (the recent fall)
long lartin,-8.205131025641037,0.0,0.0,Mar to Jun 2026 (the recent fall)
low newton,-6.923072307692308,0.0,0.0,Mar to Jun 2026 (the recent fall)
lowdham grange,-4.720961538461211,12.0,0.0,Mar to Jun 2026 (the recent fall)
maidstone,5.3461510256410065,0.0,0.0,Mar to Jun 2026 (the recent fall)
manchester,2.692307692307736,-20.0,0.0,Mar to Jun 2026 (the recent fall)
moorland,-5.224352820512848,4.0,0.0,Mar to Jun 2026 (the recent fall)
morton hall,2.0,0.0,0.0,Mar to Jun 2026 (the recent fall)
new hall,3.2948746153846287,-39.0,0.0,Mar to Jun 2026 (the recent fall)
north sea camp,-1.6025669230769282,0.0,0.0,Mar to Jun 2026 (the recent fall)
norwich,3.871794358974398,-82.0,0.0,Mar to Jun 2026 (the recent fall)
nottingham,9.089746410256339,0.0,0.0,Mar to Jun 2026 (the recent fall)
onley,0.5256410256409936,0.0,0.0,Mar to Jun 2026 (the recent fall)
pentonville,-8.24358128205131,0.0,0.0,Mar to Jun 2026 (the recent fall)
portland,-4.794871794871796,4.0,0.0,Mar to Jun 2026 (the recent fall)
preston,2.0000000000000284,-1.0,0.0,Mar to Jun 2026 (the recent fall)
ranby,-7.307697948718101,0.0,0.0,Mar to Jun 2026 (the recent fall)
risley,4.897441538461578,0.0,0.0,Mar to Jun 2026 (the recent fall)
rochester,-0.897435897435912,0.0,0.0,Mar to Jun 2026 (the recent fall)
send,0.8461520512820471,0.0,0.0,Mar to Jun 2026 (the recent fall)
stafford,-0.8974302564102459,0.0,0.0,Mar to Jun 2026 (the recent fall)
standford hill,-4.282041538461527,0.0,0.0,Mar to Jun 2026 (the recent fall)
stocken,-4.97435666666658,-2.0,0.0,Mar to Jun 2026 (the recent fall)
stoke heath,1.8205128205127892,-12.0,0.0,Mar to Jun 2026 (the recent fall)
styal,4.333332051282099,0.0,1.0,Mar to Jun 2026 (the recent fall)
sudbury,5.397433076923107,0.0,0.0,Mar to Jun 2026 (the recent fall)
swaleside,-19.664097435897418,-90.0,0.0,Mar to Jun 2026 (the recent fall)
swansea,5.7564102564101916,0.0,0.0,Mar to Jun 2026 (the recent fall)
swinfen hall,-5.000000000000028,0.0,0.0,Mar to Jun 2026 (the recent fall)
the mount,-0.1538461538461604,-20.0,0.0,Mar to Jun 2026 (the recent fall)
the verne,-1.3205299999999909,0.0,0.0,Mar to Jun 2026 (the recent fall)
thorn cross,-4.205128205128176,0.0,0.0,Mar to Jun 2026 (the recent fall)
wakefield,5.448718974358883,0.0,2.0,Mar to Jun 2026 (the recent fall)
wandsworth,1.730769230768999,-12.0,0.0,Mar to Jun 2026 (the recent fall)
warren hill,-108.01285717948704,0.0,0.0,Mar to Jun 2026 (the recent fall)
wayland,-7.166670512820559,0.0,0.0,Mar to Jun 2026 (the recent fall)
wealstun,-6.602561282051397,0.0,0.0,Mar to Jun 2026 (the recent fall)
werrington,8.358981282051332,0.0,0.0,Mar to Jun 2026 (the recent fall)
wetherby,-23.12820974358982,0.0,0.0,Mar to Jun 2026 (the recent fall)
whatton,5.499991538461529,-30.0,0.0,Mar to Jun 2026 (the recent fall)
whitemoor,-9.93590589743593,0.0,0.0,Mar to Jun 2026 (the recent fall)
winchester,-0.9358928205128336,-13.0,0.0,Mar to Jun 2026 (the recent fall)
woodhill,3.4230769230769624,0.0,0.0,Mar to Jun 2026 (the recent fall)
wormwood scrubs,-2.102565641025649,-60.0,0.0,Mar to Jun 2026 (the recent fall)
wymott,-3.371800512820471,-6.0,0.0,Mar to Jun 2026 (the recent fall)
