date,date_in_file,date_title,layout,pop_total,pop_prisons,pop_irc,pop_male,pop_female,uoc_total,uoc_prisons,uoc_irc,headroom,headroom_calc,operating_margin,hdc,police_cells,ya_pop_total,ya_uoc_total,title,url,local,error
2011-09-09,2011-09-09,2011-09-09,D2,86842.0,86256.0,586.0,82572.0,4270.0,88628.0,87744.0,884.0,1786.0,1786.0,2000.0,2745.0,,,,Population Bulletin - Weekly 9 September 2011,https://assets.publishing.service.gov.uk/media/5a7c7e54e5274a2674eab05f/prison-population-9-sept-2011.doc,raw/weekly_doc_txt/5a7c7e54e5274a2674eab05f_prison-population-9-sept-2011.html,
2011-02-18,2007-11-09,2011-02-18,D1,85072.0,,,80886.0,4186.0,88183.0,,,3111.0,3111.0,2000.0,2622.0,,83820.0,86324.0,Population Bulletin - Weekly 18 February 2011,https://assets.publishing.service.gov.uk/media/5a7c7ffc40f0b62aff6c21ba/10004C5C18022011_web_report.doc,raw/weekly_doc_txt/5a7c7ffc40f0b62aff6c21ba_10004C5C18022011_web_report.html,
2011-10-28,2011-10-28,2011-10-28,D2,87573.0,86754.0,819.0,83378.0,4195.0,89330.0,88338.0,992.0,1757.0,1757.0,2000.0,2738.0,,,,Population Bulletin - Weekly 28 October 2011,https://assets.publishing.service.gov.uk/media/5a7c8a0540f0b62aff6c260f/prison-population-28-oct-2011.doc,raw/weekly_doc_txt/5a7c8a0540f0b62aff6c260f_prison-population-28-oct-2011.html,
2011-04-01,2011-04-01,2011-04-01,D2,85447.0,84922.0,525.0,81206.0,4241.0,87717.0,87117.0,600.0,2270.0,2270.0,2000.0,2671.0,,,,Population Bulletin - Weekly 01 April 2011,https://assets.publishing.service.gov.uk/media/5a7c8d3940f0b62aff6c277e/10004C8101042011_web_report.doc,raw/weekly_doc_txt/5a7c8d3940f0b62aff6c277e_10004C8101042011_web_report.html,
2011-12-02,2011-12-02,2011-12-02,D2,88179.0,87371.0,808.0,83958.0,4221.0,89311.0,88319.0,992.0,1132.0,1132.0,2000.0,2762.0,,,,Population Bulletin - Weekly 02 December 2011,https://assets.publishing.service.gov.uk/media/5a7cace8ed915d6969f468d4/prison-population-02-12-11.doc,raw/weekly_doc_txt/5a7cace8ed915d6969f468d4_prison-population-02-12-11.html,
2011-02-04,2011-02-04,2011-02-04,D1,84469.0,,,80330.0,4139.0,88075.0,,,3606.0,3606.0,2000.0,2626.0,,83655.0,86291.0,Population Bulletin - Weekly 04 February 2011,https://assets.publishing.service.gov.uk/media/5a7cad93ed915d6969f46921/10004C4204022011_web_report.doc,raw/weekly_doc_txt/5a7cad93ed915d6969f46921_10004C4204022011_web_report.html,
2011-06-03,2011-06-03,2011-06-03,D2,85106.0,84499.0,622.0,80930.0,4176.0,87812.0,87138.0,674.0,2706.0,2706.0,2000.0,2698.0,,,,Population Bulletin - Weekly 03 June 2011,https://assets.publishing.service.gov.uk/media/5a7cb1bfe5274a2f304ef85f/prison-poulation-03-june-2011.doc,raw/weekly_doc_txt/5a7cb1bfe5274a2f304ef85f_prison-poulation-03-june-2011.html,
2011-07-15,2011-07-15,2011-07-15,D2,85467.0,84813.0,654.0,81249.0,4218.0,88027.0,87147.0,880.0,2560.0,2560.0,2000.0,2792.0,,,,Population Bulletin - Weekly 15 July 2011,https://assets.publishing.service.gov.uk/media/5a7cc7f7e5274a38e5756b50/prison-populaton-15-july-2011.doc,raw/weekly_doc_txt/5a7cc7f7e5274a38e5756b50_prison-populaton-15-july-2011.html,
2011-04-08,2011-04-08,2011-04-08,D2,85361.0,84812.0,549.0,81120.0,4241.0,87729.0,87135.0,594.0,2368.0,2368.0,2000.0,2735.0,,,,Population Bulletin - Weekly 08 April 2011,https://assets.publishing.service.gov.uk/media/5a7cca1be5274a2c9a484211/prison-poulation-08-april-2011.doc,raw/weekly_doc_txt/5a7cca1be5274a2c9a484211_prison-poulation-08-april-2011.html,
2011-10-07,2011-10-07,2011-10-07,D2,87673.0,86916.0,757.0,83430.0,4243.0,88687.0,87734.0,953.0,1014.0,1014.0,2000.0,2713.0,,,,Population Bulletin - Weekly 7 October 2011,https://assets.publishing.service.gov.uk/media/5a7cd23fe5274a34d8d3324d/prison-population-07-10-11.doc,raw/weekly_doc_txt/5a7cd23fe5274a34d8d3324d_prison-population-07-10-11.html,
2011-05-06,2011-05-06,2011-05-06,D2,84621.0,84094.0,527.0,80490.0,4131.0,87742.0,87148.0,594.0,3121.0,3121.0,2000.0,2635.0,,,,Population Bulletin - Weekly 06 May 2011,https://assets.publishing.service.gov.uk/media/5a7cd28bed915d63cc65d0a9/prison-poulation-06-may-2011.doc,raw/weekly_doc_txt/5a7cd28bed915d63cc65d0a9_prison-poulation-06-may-2011.html,
2011-03-11,2007-11-09,2011-03-11,D1,85381.0,,,81105.0,4276.0,88448.0,,,3067.0,3067.0,2000.0,2699.0,,84086.0,86488.0,Population Bulletin - Weekly 11 March 2011,https://assets.publishing.service.gov.uk/media/5a7cd348ed915d63cc65d0f0/10004C6C11032011_web_report.doc,raw/weekly_doc_txt/5a7cd348ed915d63cc65d0f0_10004C6C11032011_web_report.html,
2011-07-22,2011-07-22,2011-07-22,D2,85578.0,84934.0,644.0,81382.0,4196.0,88073.0,87193.0,880.0,2495.0,2495.0,2000.0,2787.0,,,,Population Bulletin - Weekly 22 July 2011,https://assets.publishing.service.gov.uk/media/5a7ce063e5274a2c9a484a81/prison-population-22-07-11.doc,raw/weekly_doc_txt/5a7ce063e5274a2c9a484a81_prison-population-22-07-11.html,
2011-09-30,2011-09-30,2011-09-30,D2,87501.0,86751.0,750.0,83245.0,4256.0,88533.0,87783.0,750.0,1032.0,1032.0,2000.0,2698.0,,,,Population Bulletin - Weekly 30 September 2011,https://assets.publishing.service.gov.uk/media/5a7ce7c4e5274a2c9a484d5b/prison-population-30-sept-2011.doc,raw/weekly_doc_txt/5a7ce7c4e5274a2c9a484d5b_prison-population-30-sept-2011.html,
2011-02-25,2007-11-09,2011-02-25,D1,85206.0,,,80985.0,4221.0,88286.0,,,3080.0,3080.0,2000.0,2638.0,,83925.0,86386.0,Population Bulletin - Weekly 25 February 2011,https://assets.publishing.service.gov.uk/media/5a7ce9e540f0b6629523c91a/10004C5F25022011_web_report.doc,raw/weekly_doc_txt/5a7ce9e540f0b6629523c91a_10004C5F25022011_web_report.html,
